,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
2011,84.58,83.84,81.94,86.37,81.3,82.67,83.54,83.27,89.57,93.23,89.44,90.11,87.92,87.67,89.49,88.81,82.6,78.93,85.78,87.74,80,89.26,76.92
2012,85.77,83.59,83.57,90.47,81.14,86.62,85.32,84.32,93.97,90.86,88.45,93.84,90.42,88.85,89.17,82.23,81.13,83.49,86.86,86.64,82.59,86.35,77.44
2013,85.34,83.47,81.91,86.56,83.44,86.1,84.68,84.87,90.62,90.67,89.26,92.7,90.32,90.81,87.11,80.93,83.38,89.64,86.06,87.47,85.86,83.54,84.06
2014,84.01,83.02,81.46,85.95,79.14,85.34,84.41,84.54,86.63,93.99,88.63,84.49,85.67,85.61,89.67,85.31,83.53,86.46,81.84,83.38,80.33,84.39,78.66
2015,84.23,84.15,82.54,84.91,78.48,84.8,84,89.11,87.71,91.01,88.92,87.15,84.45,86.57,88.97,83.44,82.62,86.58,85.47,81.03,86.75,88.43,75.98
2016,85.36,84.33,84.16,88.44,78.28,87.57,86.16,87.58,88.11,91.29,90.64,86.56,86.28,87.72,86.62,82.34,84.92,89.22,82.1,86.31,85.43,93.28,83.31
2017,84.83,85.5,83.69,84.96,80.65,85.93,84.16,85.63,89.12,91.34,89.68,91.02,88.37,89.4,84.21,82.23,80.69,84.25,82.97,78.65,79.3,86.03,79.58
2018,84.52,83.63,83.4,85.83,78.91,87.4,84.44,82.89,90.34,90.67,86.37,88.59,86.58,89.65,87.86,81.17,84.96,85.71,86.48,78.44,85.22,86.19,85.42
2019,84.7,82.84,84.02,87.01,80.26,85.29,84.63,84.25,92.23,89.17,90.61,86.88,85.55,89.56,82.63,80.88,85.48,86.97,87.46,83.73,86.15,86.03,77.95
2020,84.68,84.07,83.8,84.32,80.68,87.3,84.04,83.19,88.23,90.4,87.93,89.39,87.43,91.39,85.57,84.98,77.46,84.09,87.16,83.7,84.05,86.25,70.03
